rep	peak_num	value
3	126	6404.6716910000005
3	127	2482.5187610000003
3	128	2853.926576
3	129	2099.189305
3	130	2639.96778
3	131	5886.57003
3	132	2351.5621148
3	133	2358.6600829999998
3	134	3983.626802
3	135	1946.0340053
3	136	1871.5687560000001
3	137	2652.014692
3	138	3018.4435049999997
3	139	3198.8481690000003
3	140	2280.1575000000003
3	141	3081.797392
3	142	2938.786489
3	143	4990.593752
3	144	3206.677181
3	145	2540.553703
3	146	2720.218463
3	147	1866.8446669999998
3	148	1969.308527
3	149	5044.484431
3	150	3014.9784299999997
3	151	4042.7534090000004
3	152	2397.114943
3	153	2164.469148
3	154	1916.762586
3	155	4804.565335
3	156	6094.514598
3	157	2477.024519
3	158	3309.883201
3	159	2481.521751
3	160	1432.0761770000001
3	162	1760.048874
3	163	4082.893192
3	164	2382.81073
3	165	1936.913653
3	166	3931.207371
3	167	2052.972269
3	168	2653.543412
3	169	1863.844395
3	170	1733.220711
3	172	2555.345233
3	173	2200.67176665
3	174	1724.0800595
3	175	3441.2147859999995
3	176	3532.050019
3	177	1569.560123
3	178	1139.1335422
3	179	3497.2836439999996
3	180	2476.468237
3	181	1630.362549
3	182	2108.09235
3	183	2345.56113
3	184	1905.025028
3	185	1909.924882
3	186	1326.0318229999998
3	187	1909.644434
3	188	2841.5315849999997
3	189	2491.823217
3	190	2746.613568
3	191	2070.224433
3	192	1565.03043
3	193	1577.052301
3	194	1207.7002521
3	195	1427.112163
3	196	2343.339554
3	197	2023.1656897999999
3	198	1095.597561
3	199	1378.8087209
3	200	1113.664741
3	201	1758.494678
3	202	2103.8724829999996
3	203	2187.3223040000003
3	204	1961.1028710000003
3	205	1373.466515
3	206	1948.421996
3	208	3698.583226
3	209	1884.119451
3	210	2458.909386
3	211	2066.561367
3	212	3077.128955
3	213	2959.643991
3	215	4158.348606
3	216	1160.6299320000003
3	217	2676.299338
3	218	1232.2783213
3	219	2183.173501
3	221	1572.374128
3	222	1692.201525
3	223	1566.145303
3	224	2529.789382
3	225	1396.857571
3	226	1664.8957646
3	227	2116.958551
3	228	1942.9854639999999
3	229	1310.027714
3	230	1833.5192889999998
3	231	2494.279189
3	232	1595.8972707
3	233	2421.085039
3	234	1822.161003
3	235	1332.800448
3	236	1601.093969
3	237	2306.506292
3	238	1305.979061
3	239	3604.40279
3	240	1494.03361
3	241	1200.1396327
3	242	1523.537724
3	243	1835.293887
3	244	1209.2397641999999
3	245	1076.172143
3	246	1674.1597989999998
3	247	1311.5205540000002
3	248	1708.444524
3	249	1276.306634
3	250	3133.038021
3	251	3070.195495
3	252	1720.11418
3	253	2030.1237120000003
3	254	829.9873239
3	255	1028.984326
3	257	1375.697094
3	258	2196.050241
3	259	1235.3490995
3	260	813.8457232
3	261	524.7720998
3	262	1316.0945116999999
3	263	1979.532479
3	264	2004.4462340000002
3	265	5174.389700000001
3	266	1650.479262
3	267	1100.4957055
3	268	1224.1423191000001
3	269	3111.016206
3	270	4063.779562
3	271	1534.8203270000001
3	272	1154.7830190000002
3	273	1217.433195
3	274	685.5305959000001
3	275	4537.888626
3	276	1419.4292447999999
3	277	2558.262392
3	279	1071.3985069
3	280	1451.554451
3	281	1402.0668159999998
3	282	2856.4388029999996
3	283	1038.5670229999998
3	284	2759.456078
3	285	2221.09253
3	286	1398.32716
3	287	3241.9351380000003
3	288	1410.3835592
3	289	2911.199331
3	290	1164.380471
3	291	816.6935189999999
3	293	3081.68174
3	294	478.9799932
3	295	1768.546402
3	296	1306.4279086
3	297	1208.4965
3	298	748.9223300000001
3	299	1115.0762514
3	300	716.563274
3	301	1188.5615504
3	302	2421.603535
3	303	1754.328419
3	304	1491.4991407
3	305	1617.403573
3	306	2461.402496
3	307	2310.190067
3	308	1475.387862
3	309	2688.918474
3	310	1540.57946
3	311	1139.453698
3	312	940.7843953999999
